Articulo,Descripcion,Rubro,CON EL 20%,Stock,img
10-003-P,10 FUNCIONES LUBRICANTE . P X 220 CC,FERRETERIA,"$3,375.86",20,https://http2.mlstatic.com/D_NQ_NP_824357-MLA97210126296_112025-O.webp
5-001,ACEITE DE LINO 1LT,PINTURA,"$2,556.63",20,
2-350,ACEITE DE LINO X 4 LT,FERRETERIA,"$9,135.56",20,
3-001,ACEITE MULTIUSO X 100CC,LUBRICANTES,$697.21,20,
10-009-P,ACIDO DESINCRUSTANTE X 1 LT,FERRETERIA,"$2,681.56",20,
1-001-3,ADAPTADOR 10 AMPERES,ELECTRICIDAD,$758.69,20,
1-001,ADAPTADOR 2 PATAS CHATAS ( REGULABLE ),ELECTRICIDAD,"$1,206.57",20,
1-291-ATL,ADAPTADOR PARA TIRA LED CON ENCHUFE,ILUMINACION,"$1,647.98",20,
4-002-1 KG,ADHESIVO DE POLIURETANO FANATITE 1 KG,PEGAMENTO,"$21,498.24",20,
4-002-330G,ADHESIVO DE POLIURETANO FANATITE 330 GRS,PEGAMENTO,"$8,549.83",20,
4-001,ADHESIVO DE POLIURETANO FANATITE 50 GRS,PEGAMENTO,"$2,731.98",20,
4-004,ADHESIVO PARA PVC 110CC,PEGAMENTO,"$2,379.13",20,
4-005,ADHESIVO PARA PVC 250CC,PEGAMENTO,"$5,108.29",20,
4-006,ADHESIVO PARA PVC 60CC,PEGAMENTO,"$1,399.81",20,
SG-041-ATA,AEROSOL ALTA TEMPERATURA ALUMINIO X 200 CC,PINTURA,"$3,880.74",20,
SG-041-ATN,AEROSOL ALTA TEMPERATURA NEGRO BRILLANTE X 200 CC,PINTURA,"$4,294.29",20,
SG-041-BB,AEROSOL BARNIZ BRILLANTE X 200 CC,PINTURA,"$2,711.30",20,
10-040-LAE,AEROSOL GRASA DE LITIO X 250 CM3,FERRETERIA,"$3,947.34",20,
3-003,AEROSOL GRASA GRAFITADA 237CC,LUBRICANTES,"$3,128.22",20,
10-040-GGR,AEROSOL GRASA GRAFITADA X 250 CM3,FERRETERIA,"$3,924.11",20,
